country,code,year,kcal_per_day,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017,component,share
Afghanistan,afg,1990,2314,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02929991356957649
Afghanistan,afg,1991,2044,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.03178082191780822
Afghanistan,afg,1992,1891,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.031602326811211
Afghanistan,afg,1993,1910,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.030596858638743455
Afghanistan,afg,1994,1820,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.03298901098901099
Afghanistan,afg,1995,1844,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.032885032537960955
Afghanistan,afg,1996,1843,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.03474769397721107
Afghanistan,afg,1997,1874,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.03622198505869797
Afghanistan,afg,1998,1903,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.03722543352601156
Afghanistan,afg,1999,1852,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.039179265658747305
Afghanistan,afg,2000,1790,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.033072625698324025
Afghanistan,afg,2001,1737,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.025492227979274612
Afghanistan,afg,2002,1826,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.031237677984665937
Afghanistan,afg,2003,1892,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.0279492600422833
Afghanistan,afg,2004,1967,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.027147941026944584
Afghanistan,afg,2005,1948,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02673511293634497
Afghanistan,afg,2006,1966,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.022950152594099694
Afghanistan,afg,2007,2046,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02240469208211144
Afghanistan,afg,2008,2041,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02312591866731994
Afghanistan,afg,2009,2081,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02245074483421432
Afghanistan,afg,2010,2104,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.023022813688212927
Afghanistan,afg,2011,2107,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.023122923588039867
Afghanistan,afg,2012,2100,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.02335238095238095
Afghanistan,afg,2013,2090,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Animal protein share,0.023387559808612443
Albania,alb,1990,2568,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.03724299065420561
Albania,alb,1991,2572,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.041493001555209956
Albania,alb,1992,2654,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.042275810097965334
Albania,alb,1993,2795,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.04257602862254025
Albania,alb,1994,2877,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.04903719151894335
Albania,alb,1995,2717,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.05815237394184763
Albania,alb,1996,2843,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.05951459725641927
Albania,alb,1997,2725,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.05337247706422018
Albania,alb,1998,2725,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.052521100917431195
Albania,alb,1999,2797,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.05587415087593851
Albania,alb,2000,2734,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.0568983174835406
Albania,alb,2001,2803,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.05863717445594007
Albania,alb,2002,2864,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.06252793296089386
Albania,alb,2003,2772,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.0678932178932179
Albania,alb,2004,2792,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.06862464183381088
Albania,alb,2005,2874,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.0680027835768963
Albania,alb,2006,2855,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07061295971978984
Albania,alb,2007,2860,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07018181818181818
Albania,alb,2008,2947,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07233118425517475
Albania,alb,2009,2993,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07220848646842633
Albania,alb,2010,3076,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07322496749024708
Albania,alb,2011,3132,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07268199233716474
Albania,alb,2012,3184,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Animal protein share,0.07438442211055277
