country,code,year,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),kcal_per_day,Animal protein share,Plant share,Fat share,Carbo share,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017
Afghanistan,afg,1990,67.8,197.08,435.6,1613.52,2314,0.02929991356957649,0.0851685393258427,0.1882454624027658,0.6972860847018151,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1991,64.96,173.68,370.08,1435.28,2044,0.03178082191780822,0.08497064579256361,0.18105675146771036,0.7021917808219178,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1992,59.76,159.12,342.99,1329.13,1891,0.031602326811211,0.08414595452141724,0.1813802221047065,0.7028714965626653,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1993,58.44,168.88,297.72,1384.96,1910,0.030596858638743455,0.08841884816753927,0.15587434554973822,0.7251099476439791,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1994,60.04,159.32,286.92,1313.72,1820,0.03298901098901099,0.08753846153846154,0.15764835164835167,0.7218241758241758,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1995,60.64,151.2,365.94,1266.22,1844,0.032885032537960955,0.08199566160520606,0.19844902386117136,0.6866702819956616,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1996,64.04,152.96,349.74,1276.26,1843,0.03474769397721107,0.08299511665762345,0.18976668475311992,0.6924905046120455,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1997,67.88,159.4,308.16,1338.56,1874,0.03622198505869797,0.08505869797225186,0.16443970117395945,0.7142796157950907,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1998,70.84,160.28,320.13,1351.75,1903,0.03722543352601156,0.08422490803993694,0.1682238570677877,0.7103258013662638,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,1999,72.56,151.92,342.18,1285.34,1852,0.039179265658747305,0.08203023758099351,0.1847624190064795,0.6940280777537796,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
